epoch,train_loss,train_acc,val_loss,val_acc,lr,secs
1,5.039642,0.008534,5.032273,0.019481,0.00004264,7.338
2,5.023745,0.014842,5.019735,0.027273,0.00005052,0.429
3,5.007005,0.027829,5.003320,0.028571,0.00006356,0.328
4,4.983907,0.032653,4.977858,0.037662,0.00008162,0.363
5,4.945372,0.037106,4.933673,0.035065,0.00010450,0.337
6,4.878321,0.037477,4.860672,0.033766,0.00013194,0.345
7,4.794079,0.035250,4.798858,0.027273,0.00016365,0.318
8,4.720060,0.042301,4.730549,0.045455,0.00019927,0.323
9,4.602914,0.057143,4.600280,0.057143,0.00023842,0.338
10,4.438650,0.066790,4.468923,0.067532,0.00028066,0.334
11,4.270774,0.090909,4.317919,0.085714,0.00032553,0.339
12,4.087242,0.119109,4.171859,0.107792,0.00037254,0.363
13,3.888141,0.144341,4.040297,0.125974,0.00042117,0.344
14,3.720459,0.162523,3.870364,0.150649,0.00047089,0.348
15,3.532761,0.191095,3.722455,0.163636,0.00052114,0.341
16,3.354865,0.219295,3.666159,0.176623,0.00057139,0.342
17,3.198569,0.238961,3.561451,0.175325,0.00062107,0.335
18,3.029448,0.288312,3.428054,0.220779,0.00066963,0.355
19,2.870424,0.313544,3.379947,0.222078,0.00071656,0.336
20,2.724704,0.342857,3.270270,0.231169,0.00076132,0.326
21,2.572467,0.382931,3.220408,0.228571,0.00080343,0.354
22,2.441385,0.409647,3.122236,0.270130,0.00084243,0.330
23,2.302595,0.434508,3.048408,0.284416,0.00087788,0.424
24,2.180068,0.468646,2.992074,0.302597,0.00090940,0.377
25,2.051149,0.497588,2.956703,0.314286,0.00093664,0.352
26,1.918778,0.532468,2.968653,0.298701,0.00095930,0.334
27,1.820985,0.559184,2.906005,0.310390,0.00097714,0.344
28,1.693418,0.584787,2.891328,0.311688,0.00098995,0.327
29,1.574826,0.612987,2.885134,0.332468,0.00099760,0.339
30,1.480506,0.633024,2.859325,0.363636,0.00100000,0.331
31,1.368450,0.675325,2.890674,0.344156,0.00099945,0.330
32,1.260470,0.692022,2.894509,0.337662,0.00099789,0.324
33,1.180497,0.710204,2.843228,0.341558,0.00099534,0.365
34,1.099995,0.729870,2.837451,0.367532,0.00099178,0.358
35,0.997152,0.765121,2.866465,0.342857,0.00098724,0.326
36,0.918763,0.785158,2.799954,0.370130,0.00098171,0.345
37,0.842262,0.804824,2.857298,0.376623,0.00097521,0.483
38,0.775996,0.819666,2.929808,0.348052,0.00096776,0.504
39,0.702843,0.848980,2.891220,0.371429,0.00095936,0.396
40,0.623519,0.873469,2.845438,0.402597,0.00095004,0.458
41,0.567214,0.884230,2.894197,0.398701,0.00093981,0.453
