epoch,train_loss,train_acc,val_loss,val_acc,lr,secs
1,5.031760,0.014842,4.997331,0.018182,0.00010794,7.308
2,4.939587,0.049722,4.858358,0.037662,0.00029254,0.635
3,4.678353,0.069759,4.511845,0.079221,0.00054154,0.494
4,4.120341,0.160297,4.081367,0.140260,0.00078443,0.507
5,3.466505,0.250093,3.847156,0.148052,0.00095247,0.485
6,2.922231,0.329499,3.601378,0.198701,0.00099965,0.491
7,2.473413,0.425603,3.460768,0.237662,0.00098296,0.481
8,2.097596,0.497217,3.298896,0.271429,0.00094206,0.481
9,1.771218,0.590724,3.256355,0.279221,0.00087899,0.574
10,1.492771,0.646011,3.175477,0.281818,0.00079691,0.583
11,1.273232,0.713544,3.119897,0.329870,0.00069995,0.603
12,1.056806,0.769202,3.075509,0.332468,0.00059296,0.631
13,0.881454,0.820037,3.075005,0.320779,0.00048131,0.649
14,0.748047,0.860482,3.051733,0.342857,0.00037059,0.624
15,0.636345,0.896104,3.043961,0.342857,0.00026637,0.668
16,0.554760,0.915399,3.005594,0.357143,0.00017386,0.666
17,0.502328,0.931354,3.027364,0.359740,0.00009770,0.706
18,0.468747,0.936549,3.036163,0.364935,0.00004172,0.674
19,0.449507,0.943599,3.037853,0.364935,0.00000872,0.565
20,0.443415,0.944341,3.037874,0.364935,0.00000035,0.611
