epoch,train_loss,train_acc,val_loss,val_acc,lr,secs
1,5.064532,0.010390,4.934358,0.024675,0.00006910,7.955
2,4.846325,0.037477,4.671089,0.071429,0.00015286,0.335
3,4.476457,0.090909,4.226903,0.116883,0.00028113,0.346
4,3.951626,0.154731,3.771397,0.171429,0.00043836,0.334
5,3.447444,0.226345,3.351103,0.248052,0.00060549,0.379
6,2.997172,0.290909,3.122550,0.253247,0.00076225,0.324
7,2.669050,0.371800,2.927888,0.316883,0.00088965,0.349
8,2.318176,0.425974,2.724123,0.335065,0.00097223,0.329
9,2.036513,0.485343,2.598026,0.383117,0.00100000,0.320
10,1.759662,0.549907,2.484456,0.410390,0.00099415,0.324
11,1.503836,0.614100,2.465616,0.423377,0.00097727,0.327
12,1.257377,0.677180,2.391573,0.446753,0.00094973,0.341
13,1.029014,0.743599,2.480271,0.428571,0.00091214,0.331
14,0.842508,0.785158,2.468374,0.442857,0.00086534,0.328
15,0.662455,0.848980,2.356310,0.463636,0.00081038,0.322
16,0.493295,0.893506,2.410349,0.467532,0.00074849,0.385
17,0.373110,0.923191,2.486524,0.458442,0.00068105,0.324
18,0.280903,0.948423,2.497556,0.459740,0.00060957,0.318
19,0.196704,0.969573,2.488723,0.481818,0.00053563,0.351
20,0.133917,0.981818,2.514460,0.481818,0.00046090,0.349
